model,gamma,f,aggregator,attack,accuracy
cnn_relu,0.33,5,TrMean,Optimal_InnerProductManipulation,0.43
cnn_relu,0.66,0,TrMean,Optimal_InnerProductManipulation,0.99
cnn_relu,0.66,1,TrMean,Optimal_InnerProductManipulation,0.98
cnn_relu,0.66,2,TrMean,Optimal_InnerProductManipulation,0.98
cnn_relu,0.66,3,TrMean,Optimal_InnerProductManipulation,0.97
cnn_relu,0.66,4,TrMean,Optimal_InnerProductManipulation,0.97
cnn_relu,0.66,5,TrMean,Optimal_InnerProductManipulation,0.97
cnn_relu,1.0,0,TrMean,Optimal_InnerProductManipulation,0.99
cnn_relu,1.0,1,TrMean,Optimal_InnerProductManipulation,0.99
cnn_relu,1.0,2,TrMean,Optimal_InnerProductManipulation,0.98
cnn_relu,1.0,3,TrMean,Optimal_InnerProductManipulation,0.98
cnn_relu,1.0,4,TrMean,Optimal_InnerProductManipulation,0.98
cnn_relu,1.0,5,TrMean,Optimal_InnerProductManipulation,0.97
cnn_relu,0.0,0,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.99
cnn_relu,0.0,1,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.2
cnn_relu,0.0,2,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.18
cnn_relu,0.0,3,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.16
cnn_relu,0.0,4,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.16
cnn_relu,0.0,5,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.16
cnn_relu,0.33,0,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.99
cnn_relu,0.33,1,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.46
cnn_relu,0.33,2,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.4
cnn_relu,0.33,3,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.31
